Index,Doc Type,Length,Content
11,AKEPA,1404,". From the 6, their Standard 100 is the most popular, where they make sure that a product is entirely free from over 100 substances that are harmful to people and the environment. It ensures that end-products (every single part of it) are free from harmful chemicals. Others focus more on working conditions, such as Made in Green, but are said to be not as strict – e.g. child labor isn’t prohibited. OEKO-TEX should not be confused with organic; it simply tests for consumer safety and doesn’t investigate into raw materials. Their criteria are reviewed every year, and they operate on global standards. They also regularly update their certifications and introduce new ones. Global Organic Textile Standard (GOTS) Accredited by: GOTS and third-party GOTS-accredited certification bodies Used for: textiles Examples of brands with certified products: PACT, Organic Basics, Brook There GOTS is the leading certification for organic textiles, a classic example being for cotton. It is one of the most relevant sustainability certifications in the fashion industry. To be GOTS-certified, a product has to prove to be at least 70% organic*, and the entire supply chain and manufacturing is monitored. There are strict controls on chemicals used, water and energy waste, as well as the treatment of workers. It’s internationally recognized as one of the toughest organic textile standards to achieve"
12,AKEPA,1387,". To be GOTS-certified, a product has to prove to be at least 70% organic*, and the entire supply chain and manufacturing is monitored. There are strict controls on chemicals used, water and energy waste, as well as the treatment of workers. It’s internationally recognized as one of the toughest organic textile standards to achieve. We’re big fans of this one and a few of our sustainable fashion clients swear by it! *They have two label grades: ‘organic’ requires a minimum of 95% organic fibres and ‘made with organic materials’ requires at least 70% organic fibres. Responsible Wool Standard (RWS) Accredited by: Textile Exchange Used for: wool products Examples of brands with certified products: Patagonia, H&M, REI, ASKET RWS is a voluntary global standard created by Textile Exchange to progressively improve the welfare of sheep and the land they graze on, from farmer to final product. The standard recognizes better farm-level practices such as handling, nutrition, shearing, medical treatments, and sustainable grazing methods. Mulesing of sheep is prohibited. However, RWS does allow painful practices such as castration and tail docking, which is when sheep have their tails cut or burnt off – with pain relief not mandatory. Further, the standard allows sheep to be sold to slaughterhouses and does not address off-farm slaughter or inhumane transportation"
13,AKEPA,1525,". Mulesing of sheep is prohibited. However, RWS does allow painful practices such as castration and tail docking, which is when sheep have their tails cut or burnt off – with pain relief not mandatory. Further, the standard allows sheep to be sold to slaughterhouses and does not address off-farm slaughter or inhumane transportation. ZQ Merino Wool Certified Accredited by: The New Zealand Merino Company (NZM) Used for: wool farms Examples of brands with certified products: Allbirds, Smartwool, Fjällräven Note: NZM and Textile Exchange have worked together to create a combined audit process, so any farm with a ZQ certification will automatically receive RWS certification. The ZQ certification is considered the “gold standard” for traceable wool. It is meant to ensure the welfare of animals and people in the production of merino wool, mainly in New Zealand. ZQ now also have a regenerative wool project called ZQRX. Better Cotton Initiative (BCI) Accredited by: Better Cotton Initiative (BCI) Used for: brands (and not products) Examples of certified brands: H&M, ASOS, Urban Outfitters Better Cotton is a non-profit organisation advocating for better practices within cotton communities. They aim to reduce the negative impacts of cotton growing and processing. But they have come under scrutiny for a variety of reasons including using GMO, non-organic cotton, and forced labour in China. Many BCI members are global fast-fashion brands like H&M, who have had their sustainability claims questioned overall"
14,AKEPA,1458,". They aim to reduce the negative impacts of cotton growing and processing. But they have come under scrutiny for a variety of reasons including using GMO, non-organic cotton, and forced labour in China. Many BCI members are global fast-fashion brands like H&M, who have had their sustainability claims questioned overall. Biodiversity Wildlife Trust’s Biodiversity Benchmark Used for: land-owning businesses Examples of brands with certified products: Toyota, The Met Office, Heathrow Airport Biodiversity Benchmark was designed to complement ISO14001 and is allegedly the only standard that certifies the management of a business site for wildlife. It provides a framework within which an organization can ensure its impact is as positive as it can be by providing robust, independent verification of land management practices. Certified sites can enhance biodiversity in several ways: restoring (proactive management of existing wildlife-rich sites and sites of conservation importance), recreation (establishment of wildlife habitat on land previously used for other purposes), and reconnection (sites that contribute towards a network of habitats). Animal Welfare Leaping Bunny (Leaping Bunny Program in the US and Canada and Cruelty Free International globally) Accredited by: Coalition for Consumer Information on Cosmetics (CCIC) Used for: cosmetics, personal care, household products Examples of brands with certified products: Dr. Bronners, E.l.f"
15,AKEPA,1454,". Animal Welfare Leaping Bunny (Leaping Bunny Program in the US and Canada and Cruelty Free International globally) Accredited by: Coalition for Consumer Information on Cosmetics (CCIC) Used for: cosmetics, personal care, household products Examples of brands with certified products: Dr. Bronners, E.l.f., JASON This nicely named certification ensures that a company does not take part in animal testing for their final product, as well as every single ingredient in that product. The company also has to implement a supplier monitoring system and has to recommit to the standards annually. Note: Brands certified cruelty-free by Leaping Bunny can be owned by a parent company that does test on animals. Brands can also still contain animal products, so this certification does not certify that a product is vegan. For vegan certifications, see the next three. Certified Vegan (Vegan Action) Accredited by: Vegan Action Used for: all kinds of products such as food, drinks, cosmetics, clothes, bags, shoes, household products Examples of brands with certified products: Oatly, Vita Coco, Hellman’s, Magnum USA-based products can be certified vegan by Vegan Action to ensure that there is not a single ingredient or component that was derived from animals, including GMOs that include animal-derived substances. For example, sweeteners can’t be processed by bone char, and alcohol products can’t have been filtered or clarified with animal products"
16,AKEPA,1488,". For example, sweeteners can’t be processed by bone char, and alcohol products can’t have been filtered or clarified with animal products. Companies must even prove – if shared machinery is used with non-vegan products – that machinery and surfaces were thoroughly sanitised and cleaned in between. This certification also means the product involved no animal testing. The Vegan Trademark (The Vegan Society) Accredited by: The Vegan Society Used for: all kinds of products such as food, drinks, cosmetics, clothes, bags, shoes, household products Examples of brands with certified products: Alpro, Violife, Wagamama, Burger King, LUSH The Vegan Society trademark logo is used worldwide, and with similar strictness to Vegan Action’s certification. It guarantees products are free of animal use, animal testing, animal-derived ingredients, and GMOs that have animal-derived substances or production processes. Restaurant dishes using this label should be prepared separately from non-vegan dishes. So no grilling of vegan patties right next to massive meat ones like Burger King did 🤦🏽‍♀️. PETA-Approved Vegan Accredited by: The PETA Foundation Used for: clothes, bags, shoes, accessories, textiles, and home decor Examples of brands with certified products: NAE Vegan Shoes, DiMare Design, Woodpecker Coats, MoEa sneakers The vegan certification by PETA (People for Ethical Treatment of Animals) ensures that a product does not contain any animal-related materials"
17,AKEPA,1511,". PETA-Approved Vegan Accredited by: The PETA Foundation Used for: clothes, bags, shoes, accessories, textiles, and home decor Examples of brands with certified products: NAE Vegan Shoes, DiMare Design, Woodpecker Coats, MoEa sneakers The vegan certification by PETA (People for Ethical Treatment of Animals) ensures that a product does not contain any animal-related materials. It can be used for products, even if other products as part of that collection are not vegan; it can be used for fully vegan collections from a brand, and it can be used to certify an entire brand. It’s not to be confused with PETA’s cruelty-free certification. Despite this vegan certification being used by over 1,000 brands, PETA has a controversial reputation. In particular, for its shocking ads, which have even been banned in some countries. As always, it’s good to be informed of the good and the bad. Upcycled Upcycled Certified Accredited by: Upcycled Food Association (UFA) Used for: food products Examples of certified brands: Hippeas, Hello! I’m Ugly, ReGrained, Noka Currently, Upcycled Certified is the only third-party certification for upcycled foods globally. Upcycled foods are defined by UFA as “foods that use ingredients that otherwise would not have gone to human consumption, are procured and produced using verifiable supply chains, and have a positive impact on the environment”. Looking for this certification is a great way to support brands that are using food waste to create their products"
18,AKEPA,1522,". Upcycled foods are defined by UFA as “foods that use ingredients that otherwise would not have gone to human consumption, are procured and produced using verifiable supply chains, and have a positive impact on the environment”. Looking for this certification is a great way to support brands that are using food waste to create their products. Recycled Global Recycled Standard (GRS) Accredited by: Textile Exchange Used for: textiles and other products Examples of brands with certified products: Tala, Nudie Jeans, Kuyichi The Global Recycled Standard verifies, through third-party certification bodies, that a product contains at least 20% recycled materials. Note that this percentage only applies to B2B products; for consumer-facing labels, products must contain a minimum of 50% recycled content. GRS also addresses supply chains, environmental and social practices, and chemical contents. Their objective is to make sure claims are accurate and working conditions are good, while also limiting the use of toxic materials. Recycled Claim Standard (RCS) Accredited by: Textile Exchange Used for: textiles and other products Examples of brands with certified products: OrthoLite, VELCRO, Genan Like the Global Recycled Standard, the Recycled Claim Standard is also run by Textile Exchange. Both standards are the same, except GRS is a more rigorous standard. RCS is intended for use with any product that contains at least 5% recycled materials and does not address social or environmental aspects of processing"
19,AKEPA,1575,". Both standards are the same, except GRS is a more rigorous standard. RCS is intended for use with any product that contains at least 5% recycled materials and does not address social or environmental aspects of processing. You may have noticed RCS has two types of logos: one that states “Recycled 100 Claim Standard” as shown above, and one that states “Recycled Blended Claim Standard”. Although Textile Exchange lacks clarity on this, many resources state that RCS 100 ensures a product contains 95-100% recycled content and RCS Blended contains a minimum of 5% recycled content. Recycled Content Certification Accredited by: SCS Global Services Used for: all kinds of products Examples of brands with certified products: Shredded Tire Inc., Revolution Bag, Numatic, GreenMantra The SCS Recycled Content Certification evaluates products made from pre-consumer or post-consumer material diverted from the waste stream and verifies the percentage of recycled materials in a product. Manufacturers obtain a numbered certificate with specified recycled material levels and a certification mark for use on products and marketing. Organic USDA Organic Accredited by: USDA (United States Department of Agriculture) Used for: food, cosmetics, skincare, textiles Examples of brands with certified products: Dole, 365 by Whole Foods Market, Kirkland Signature Despite having lost a bit of trust, the USDA Organic label still stands out due to upholding its commendable requirements, as well as extra efforts to step up and prevent organic fraud. USDA Organic certifies U.S"
20,AKEPA,1524,". USDA Organic certifies U.S. products only and demands that no synthetic pesticides, herbicides, fertilizers, or GMOs (following a list of acceptable and prohibited substances) are present under every facet of the farm and business. USDA certifies organic textiles too, but only the raw, agricultural fibre – not the finished, processed textile. Third-party certifiers carry out a yearly review and audit. That all said, the U.S. organic market has grown so big that some say the current system is not up to scratch and that it needs an overhaul. Some growing concerns are third-party certifiers not upholding all of the required standards and non-organic food being imported to the U.S. as ‘organic’. Note: USDA Organic certification does not ensure animal welfare or environmentally sustainable production. EU Organic Logo Accredited by: European Commission Used for: agricultural raw materials and food products Examples of brands with certified products: Whole Earth, Ecocesta, Natruly Contrary to all the other certifications mentioned in this post, the EU Organic logo is mandatory for pre-packaged food products produced and sold as organic in the EU. The logo is optional otherwise, such as for imported organic products. There are strict requirements for the use of this logo, for example no GMOs, transformation of waste into resources, animal welfare standards, and at least 95% of ingredients must be organic. Logos must be accompanied by the coded number of the control body that authorized certification"
21,AKEPA,1311,". The logo is optional otherwise, such as for imported organic products. There are strict requirements for the use of this logo, for example no GMOs, transformation of waste into resources, animal welfare standards, and at least 95% of ingredients must be organic. Logos must be accompanied by the coded number of the control body that authorized certification. Soil Association Accredited by: International Organization for Standardization (ISO) Used for: food, cosmetics, textiles Examples of certified brands: Salt of the Earth, Komodo, UpCircle In the UK, Soil Association certifies over 70% of organic food and drinks, making it the country’s leading organic certification body. That doesn’t just refer to Soil Association certified organic – they also certify to other standards, including GOTS, COSMOS, and FSC. Verified by third-party auditors and holding the international standard ISO17065 accreditation, Soil Association promises to operate in a ‘consistent and reliable’ manner. Soil Association’s certified products are legally required to meet EU Organic’s regulations, plus their own higher standards. You can find their logo on certified products for easy identification. Climate Action Climate neutrality works best in combination with efforts to keep emissions low in first place"
22,AKEPA,1326,". Soil Association’s certified products are legally required to meet EU Organic’s regulations, plus their own higher standards. You can find their logo on certified products for easy identification. Climate Action Climate neutrality works best in combination with efforts to keep emissions low in first place. Here are a few key certifications in the area: The Climate Label Accredited by: The Change Climate Project (TCCP) Used for: brands (and not products), and some non-brand entities Examples of certified brands (Climate Neutral Certified): Klean Kanteen, Pela, Wolven Note: Starting 2025, The Climate Label will replace the Climate Neutral Certified label, so we’ve precedently made the change in this article. Further, the organization ‘Climate Neutral’ has also changed to ‘The Change Climate Project’ (TCCP). The Change Climate Project is a nonprofit working to eliminate carbon emissions and certifies companies according to The Climate Label 2025 Standard. The Climate Label certification will now be moving beyond neutrality. The new approach will involve an internal carbon fee, and the certification will be based on an examination of active corporate funding of carbon-reducing projects. Climate Partner Accredited by: Climate Partner / TÜV Austria Used for: brands, packaging, and products (e.g"
23,AKEPA,1552,". The Climate Label certification will now be moving beyond neutrality. The new approach will involve an internal carbon fee, and the certification will be based on an examination of active corporate funding of carbon-reducing projects. Climate Partner Accredited by: Climate Partner / TÜV Austria Used for: brands, packaging, and products (e.g. print products, hotel stays, food and beverage) Examples of certified brands: Canon, Lavera, LEON, Akepa After assessing a company’s current emissions, Climate Partner offers five solutions: a corporate carbon footprint for companies, a product carbon footprint for a product or service, a carbon emission reduction strategy, carbon offsetting to achieve climate neutrality, and communicating these commitments. Akepa uses Climate Partner to understand and offset carbon emissions but we also try to keep those very low in the first place through strategies like our 100% remote working model. Gold Standard Accredited by: UN Framework Convention on Climate Change (UNFCCC) Used for: projects Examples of certified projects: Improved cookstoves for Ugandan families, sustainable afforestation in Togo, clean water access in India Established by the World Wildlife Fund and other NGOs, the Gold Standard is not for brands or products, but rather for projects to quantify, certify, and maximise their impact. It is a carbon offset program that is focused on progressing the United Nations’ Sustainable Development Goals (SDGs), and they must follow the Gold Standard for the Global Goals’ requirements"
24,AKEPA,1600,". It is a carbon offset program that is focused on progressing the United Nations’ Sustainable Development Goals (SDGs), and they must follow the Gold Standard for the Global Goals’ requirements. They are rigorously screened for true environmental impact through UN-accredited independent auditors, and they require the involvement of local stakeholders and NGOs. Agriculture Certified Regenerative by AGW Accredited by: A Greener World (AGW) Used for: plant- and animal-based food, textiles, personal care products Examples of certified brands: Zack’s Mighty, a2 Milk, Park Farming Organics Certified Regenerative by AGW covers all aspects of regenerative agriculture such as soil quality, healthier and more biodiverse ecosystems, and cleaner air and water – plus, better treatment of workers and animals. This standard takes a 360-degree view of the whole farm. While organic is not required, Certified Regenerative incorporates their Certified Animal Welfare Approved standards. Regenerative Organic Certified (ROC) Accredited by: Regenerative Organic Alliance (ROA) Used for: food, textiles, personal care products Examples of certified brands: Dr. Bronner’s, Outerknown, Whole Foods Market, Lotus Foods This standard is about shifting the global food system into one that respects land and animals, empowers people, and restores communities and ecosystems. Regenerative Organic Certified uses the USDA organic certification as a baseline but fills in the gaps by incorporating the three pillars of regenerative organic agriculture: soil health, animal welfare, and farmworker fairness"
25,AKEPA,1580,". Regenerative Organic Certified uses the USDA organic certification as a baseline but fills in the gaps by incorporating the three pillars of regenerative organic agriculture: soil health, animal welfare, and farmworker fairness. With the goal of preventing the greenwashing of the word ‘regenerative’, the ROC combined ‘regenerative’ with ‘organic’ as the ROA believe they should always go together. Fair Trade Roundtable on Sustainable Palm Oil (RSPO) Accredited by: Assurance Services International (ASI) Used for: areas and companies involved in palm oil production Examples of brands with certified products: Danone, PepsiCo, Unilever, Nestlé Palm oil is in half of supermarket products. Yet, when grown unsustainably, it’s a major driver of deforestation of some of the world’s most biodiverse forests. The Roundtable on Sustainable Palm Oil (RSPO) is focused on bringing together stakeholders from across the palm oil supply chain – such as palm oil producers or traders, retailers, banks, and NGOs – to make ‘sustainable’ palm oil. That is, according to RSPO, “palm oil that has been farmed, processed, distributed, and sold responsibly with strict rules that protect animals, the environment, and people who live and work in palm oil producing countries.” As we’ve been objective with all the certifications mentioned, we must note that RSPO has been under considerable scrutiny. The RSPO label has been rejected for years by many environmental, social, and human rights organizations around the world for being fraudulent and greenwashing"
26,AKEPA,1400,".” As we’ve been objective with all the certifications mentioned, we must note that RSPO has been under considerable scrutiny. The RSPO label has been rejected for years by many environmental, social, and human rights organizations around the world for being fraudulent and greenwashing. Various reports and case studies show that RSPO-certified plantations have been involved in forced labor and land conflict with local communities and that RSPO does not truly enable sustainable palm oil, instead allowing deforestation. PEFC Used for: sustainable forest management Examples of brands with certified products: HEMA, The Green Factory, Pepe Garden Furniture PEFC, the Programme for the Endorsement of Forest Certification, is a global alliance of national forest certification systems, NGOs, associations, companies, and individuals that promotes sustainable forest management through independent third-party certification. Anyone in the forest and wood industry, such as a forest owner or a company within the forest supply chain, can obtain the PEFC label. PEFC certification follows two processes: sustainable forest management, which has three domains – environmental, economic, and social, and chain of custody, which tracks forest-based products from sustainable sources to the final product. Products can only carry a PEFC label if they contain a minimum of 70% PEFC-certified material"
27,AKEPA,1549,". PEFC certification follows two processes: sustainable forest management, which has three domains – environmental, economic, and social, and chain of custody, which tracks forest-based products from sustainable sources to the final product. Products can only carry a PEFC label if they contain a minimum of 70% PEFC-certified material. Fair to Folk Fairtrade Accredited by: FLOCERT Used for: mainly food & beverages Examples of brands with certified products: Ben & Jerry’s, Clipper Tea, Nespresso The Fairtrade certification is among the most well-known and ubiquitous. Their goal is to empower workers and farmers, and promote fair pay. They check compliance of standards through audits by independent certifiers, including that producers are paid their premiums. You’ve likely seen this little insignia on something or the other but it’s come under some scrutiny. You can read more in depth about some of the complaints here and here. At the same time though, there are also plenty of people defending the certification. And it remains very popular. Fair for Life Accredited by: Ecocert Used for: agricultural goods, cosmetics, textiles, detergents Examples of brands with certified products: Dr. Bronners, Trabocca, Lotus Foods, Pukka Tea Fair for Life’s main focus apart from fair pricing is a responsible, fair, and respectful supply chain to all affected. To qualify for using the third-party certified Fair for Life label on your food product, it must contain at least 80% of certified ingredients (for some other categories, 70%)"
28,AKEPA,1479,". Bronners, Trabocca, Lotus Foods, Pukka Tea Fair for Life’s main focus apart from fair pricing is a responsible, fair, and respectful supply chain to all affected. To qualify for using the third-party certified Fair for Life label on your food product, it must contain at least 80% of certified ingredients (for some other categories, 70%). The 6-step process includes initial evaluation, commitment to corrective measures of non-conformities, and continuous monitoring based on a 3-year cycle. Fair for Life rigorously assesses and accredits every step of a product’s life. WFTO (World Fair Trade Organization) Accredited by: World Fair Trade Organisation Used for: enterprises (rather than products) Examples of certified brands: People Tree, Mayamiko, Seepje, Global Mamas WFTO is a global association that certifies enterprises, and therefore makes sure that the entire supply chain and processes of a company are ethical, as opposed to specific products. Through audits and peer visits, brands must prove that they prioritise social and economic justice before anything else. Once a certified member, brands can then use the guaranteed fair trade label on any and all of their products. SA8000 Accredited by: Social Accountability Accreditation Services (SAAS) Used for: brands from any industry Examples of certified brands: Girlfriend Collective, ECOALF, POMP SA8000 is a certification for ethical labour practices created by Social Accountability International (SAI)"
29,AKEPA,1513,". Once a certified member, brands can then use the guaranteed fair trade label on any and all of their products. SA8000 Accredited by: Social Accountability Accreditation Services (SAAS) Used for: brands from any industry Examples of certified brands: Girlfriend Collective, ECOALF, POMP SA8000 is a certification for ethical labour practices created by Social Accountability International (SAI). However it is Social Accountability Accreditation Services (SAAS), a separate entity, that accredits independent third-party certification bodies to hand out certifications. Brands of all types, from any industry, and in any country that do business in a way that is fair for workers can be certified. Based on internationally recognized standards of decent work, the nine elements of its framework judge performance on issues such as child labour, forced labour, health and safety, discrimination, and working hours. However, there are shortcomings associated with SA8000, the biggest one being that almost 300 garment factory workers lost their lives in a factory fire. The factory had just recently been certified by SA8000. GoodWell Accredited by: GoodWell Used for: any type of company Examples of certified brands: 1% for the Planet, Flynner Homes, Drake Cooper GoodWell is a means of receiving and evaluating employee feedback to boost employee happiness and work culture. The approach covers every aspect of a company’s supply chain, environmental sustainability, employee compensation and safety, and more"
